Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444
Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm
30.9,6.4,289,0.9945225758697261,30.9,4.597600677036354,289,0.9945225758697261
31.2,6.3,285,0.9942264988897113,31.2,4.5257631664576605,285,0.9942264988897113
31.3,6.4,279,0.9939304219096965,31.3,4.597600677036354,279,0.9939304219096965
31.3,6.5,277,0.9935356526030101,31.3,4.669438187615047,277,0.9935356526030101
31.3,6.3,278,0.9929434986429805,31.3,4.5257631664576605,278,0.9929434986429805
31.2,6.3,279,0.9924500370096225,31.2,4.5257631664576605,279,0.9924500370096225
31.0,6.0,279,0.9922526523562792,31.0,4.310250634721582,279,0.9922526523562792
30.7,5.7,278,0.9922526523562792,30.7,4.094738102985502,278,0.9922526523562792
30.2,5.9,279,0.9920552677029362,30.2,4.238413124142889,279,0.9920552677029362
29.5,5.8,280,0.9920552677029362,29.5,4.166575613564196,280,0.9920552677029362
29.3,5.5,284,0.9926474216629657,29.3,3.9510630818281163,284,0.9926474216629657
29.2,5.0,286,0.9940291142363682,29.2,3.5918755289346516,286,0.9940291142363682
29.1,4.8,286,0.9949173451764125,29.1,3.448200507777265,286,0.9949173451764125
29.0,5.0,292,0.9944238835430546,29.0,3.5918755289346516,292,0.9944238835430546
28.8,4.7,297,0.9940291142363682,28.8,3.3763629971985725,297,0.9940291142363682
28.6,3.7,295,0.9939304219096965,28.6,2.657987891411642,295,0.9939304219096965
28.6,3.4,292,0.9938317295830249,28.6,2.442475359675563,292,0.9938317295830249
28.6,3.9,290,0.9937330372563533,28.6,2.8016629125690278,290,0.9937330372563533
28.6,4.0,284,0.9938317295830249,28.6,2.8735004231477212,284,0.9938317295830249
28.5,4.2,281,0.9940291142363682,28.5,3.0171754443051073,281,0.9940291142363682
28.5,4.3,282,0.994325191216383,28.5,3.0890129548838,282,0.994325191216383
28.8,4.3,282,0.9949173451764125,28.8,3.0890129548838,282,0.9949173451764125
29.4,4.5,282,0.995312114483099,29.4,3.2326879760411864,282,0.995312114483099
29.9,4.6,280,0.9956081914631137,29.9,3.304525486619879,280,0.9956081914631137
30.2,4.5,270,0.9956081914631137,30.2,3.2326879760411864,270,0.9956081914631137
30.8,4.7,263,0.995312114483099,30.8,3.3763629971985725,263,0.995312114483099
31.6,5.1,261,0.9947199605230693,31.6,3.663713039513344,261,0.9947199605230693
31.9,5.3,265,0.9940291142363682,31.9,3.80738806067073,265,0.9940291142363682
31.9,5.3,272,0.9934369602763385,31.9,3.80738806067073,272,0.9934369602763385
31.4,4.5,286,0.9928448063163089,31.4,3.2326879760411864,286,0.9928448063163089
31.0,4.0,292,0.9925487293362941,31.0,2.8735004231477212,292,0.9925487293362941
30.8,3.9,282,0.9926474216629657,30.8,2.8016629125690278,282,0.9926474216629657
30.3,3.6,275,0.9931408832963237,30.3,2.586150380832949,275,0.9931408832963237
29.7,3.3,272,0.9938317295830249,29.7,2.3706378490968696,272,0.9938317295830249
29.2,3.1,274,0.9942264988897113,29.2,2.226962827939484,274,0.9942264988897113
29.0,2.9,283,0.9951147298297557,29.0,2.083287806782098,283,0.9951147298297557
28.9,2.7,291,0.9957068837897853,28.9,1.9396127856247118,291,0.9957068837897853
28.8,2.5,287,0.9956081914631137,28.8,1.7959377644673258,287,0.9956081914631137
28.6,2.2,277,0.995312114483099,28.6,1.5804252327312467,277,0.995312114483099
28.5,2.0,275,0.9948186528497409,28.5,1.4367502115738606,275,0.9948186528497409
28.5,2.4,281,0.994325191216383,28.5,1.7241002538886325,281,0.994325191216383
28.6,3.4,280,0.9938317295830249,28.6,2.442475359675563,280,0.9938317295830249
28.8,4.3,268,0.9935356526030101,28.8,3.0890129548838,268,0.9935356526030101
28.6,4.9,258,0.9938317295830249,28.6,3.5200380183559585,258,0.9938317295830249
28.4,5.3,255,0.9944238835430546,28.4,3.80738806067073,255,0.9944238835430546
28.3,5.2,252,0.9948186528497409,28.3,3.7355505500920376,252,0.9948186528497409
28.6,4.9,244,0.9951147298297557,28.6,3.5200380183559585,244,0.9951147298297557
29.6,3.8,234,0.9957068837897853,29.6,2.7298254019903347,234,0.9957068837897853
30.4,2.5,229,0.996299037749815,30.4,1.7959377644673258,229,0.996299037749815
31.2,2.5,235,0.9959042684431285,31.2,1.7959377644673258,235,0.9959042684431285
32.2,2.7,242,0.9950160375030842,32.2,1.9396127856247118,242,0.9950160375030842
32.8,2.6,249,0.9942264988897113,32.8,1.8677752750460188,249,0.9942264988897113
33.2,2.7,266,0.9934369602763385,33.2,1.9396127856247118,266,0.9934369602763385
32.7,3.3,291,0.9926474216629657,32.7,2.3706378490968696,291,0.9926474216629657
31.7,3.9,287,0.9923513446829509,31.7,2.8016629125690278,287,0.9923513446829509
31.0,4.4,278,0.9918578830495929,31.0,3.1608504654624934,278,0.9918578830495929
30.6,3.8,275,0.9919565753762645,30.6,2.7298254019903347,275,0.9919565753762645
29.8,2.8,253,0.9930421909696522,29.8,2.0114502962034044,253,0.9930421909696522
28.5,2.9,189,0.9941278065630397,28.5,2.083287806782098,189,0.9941278065630397
26.7,5.0,115,0.9958055761164569,26.7,3.5918755289346516,115,0.9958055761164569
26.0,6.8,90,0.9960029607698002,26.0,4.884950719351126,90,0.9960029607698002
26.6,3.9,98,0.9950160375030842,26.6,2.8016629125690278,98,0.9950160375030842
26.7,2.4,135,0.9946212681963977,26.7,1.7241002538886325,135,0.9946212681963977
26.2,4.1,149,0.9944238835430546,26.2,2.945337933726414,149,0.9944238835430546
25.5,4.8,156,0.9940291142363682,25.5,3.448200507777265,156,0.9940291142363682
25.2,2.2,167,0.9934369602763385,25.2,1.5804252327312467,167,0.9934369602763385
25.4,0.3,231,0.993338267949667,25.4,0.21551253173607907,231,0.993338267949667
25.6,0.6,160,0.9939304219096965,25.6,0.43102506347215813,160,0.9939304219096965
